datetime,open,high,low,close,ema1,ema2,rsi,atr
2026-02-07,4957.64609,4964.08055,4938.91135,4959.11455,4695.49874,4109.34916,55.71842,182.43137
2026-02-06,4830.27158,4972.30477,4654.91557,4957.75097,4684.73891,4100.8088,55.66543,194.52846
2026-02-05,4941.44978,5024.78529,4798.77728,4831.82164,4673.59557,4092.19632,50.59505,185.07763
2026-02-04,4926.18518,5090.97076,4863.23494,4941.50845,4667.13736,4084.7629,55.7521,181.92914
2026-02-03,4685.64115,4993.13125,4647.23171,4926.47711,4655.93854,4076.15239,55.17065,178.40555
2026-02-02,4865.35405,4879.10052,4410.8453,4687.13788,4644.89615,4067.60642,44.36034,165.5214
2026-02-01,4865.35613,4865.59398,4865.28403,4865.45954,4643.172,4061.37997,53.24302,142.23418
2026-01-31,4943.36462,4943.36462,4829.73898,4865.45982,4634.09903,4053.29877,53.24303,153.15143
2026-01-30,5308.49315,5451.71009,4706.06585,4940.66781,4624.65574,4045.13634,57.42459,156.19188
2026-01-29,5326.98804,5597.22988,5122.5375,5310.53137,4611.75729,4036.13603,89.53669,110.84939
2026-01-28,5099.1982,5329.23026,5098.86184,5327.17903,4583.23589,4023.32803,91.67943,82.86146
2026-01-27,5029.23113,5102.59816,4999.05307,5099.19537,4552.87087,4010.224,88.03961,71.51477
2026-01-26,4982.40644,5108.49956,4979.13611,5029.16284,4530.57191,3999.27957,86.33445,69.0509
2026-01-25,4982.42698,4984.37168,4981.87684,4982.45467,4510.22126,3988.92898,85.01102,64.41148
2026-01-24,4984.87402,4986.59233,4972.26855,4982.4814,4490.94643,3978.9438,85.01539,69.1743
2026-01-23,4911.87195,4990.21326,4902.18615,4984.67331,4470.88377,3968.858,85.34986,73.39357
2026-01-22,4780.26923,4923.18891,4775.0818,4911.86931,4449.91277,3958.6488,83.3267,72.26791
2026-01-21,4760.69265,4885.77139,4747.79286,4780.28158,4431.0574,3949.06869,78.29637,66.43412
2026-01-20,4670.79201,4767.45217,4660.31632,4760.79846,4416.80335,3940.71479,77.35715,60.93071
2026-01-19,4595.25035,4686.1434,4588.36075,4670.82045,4402.76274,3932.47274,72.19766,57.37647
2026-01-18,4595.27991,4595.67224,4595.07714,4595.28796,4391.82161,3925.05217,66.19288,54.2683
2026-01-17,4590.53336,4597.8108,4579.84926,4595.30975,4383.51686,3918.31613,66.19671,58.39701
2026-01-16,4615.42757,4620.35762,4533.25987,4590.58565,4374.87225,3911.51217,65.79832,61.50743
2026-01-15,4639.51866,4641.81025,4581.64955,4615.51073,4366.06762,3904.68731,69.83034,59.53894
2026-01-14,4597.55208,4641.32613,4571.4012,4639.42556,4355.88627,3897.54336,73.86288,59.49111
2026-01-13,4611.36907,4632.91936,4574.39161,4597.7796,4344.31324,3890.08726,71.1708,58.68851
2026-01-12,4509.80434,4631.59455,4509.22139,4611.33102,4333.96767,3882.97477,73.45688,58.70088
2026-01-11,4509.81471,4510.04601,4509.71232,4509.83173,4322.64672,3875.65461,65.82139,53.80301
2026-01-10,4499.90988,4511.053,4497.61855,4509.84807,4315.00651,3869.28097,65.82422,57.91604
2026-01-09,4451.60002,4515.83105,4451.56766,4499.75264,4307.0538,3862.84311,64.95972,61.3377
2026-01-08,4457.36735,4466.13399,4407.90536,4451.55911,4299.18854,3856.44201,60.53442,61.11198
2026-01-07,4481.4641,4500.4487,4425.27169,4457.24727,4292.96933,3850.46093,61.38405,61.33378
2026-01-06,4440.19627,4493.57837,4429.30632,4481.54678,4286.26411,3844.36257,65.00316,60.26892
2026-01-05,4330.49629,4454.41557,4329.27104,4440.26689,4278.29339,3837.95871,61.41455,59.96098
2026-01-04,4330.49282,4331.70186,4330.26423,4330.51407,4271.68223,3831.90536,48.33524,54.94687
2026-01-03,4319.10312,4334.91082,4315.21198,4330.47347,4269.28093,3826.89422,48.32923,59.06296
2026-01-02,4315.0866,4402.87822,4310.36817,4319.3054,4266.78327,3821.83312,46.74519,62.09097
2026-01-01,4311.23326,4326.44321,4304.69385,4315.16528,4264.63951,3816.8334,46.17721,59.75104
2025-12-31,4346.83879,4372.76325,4279.06735,4311.26879,4262.57723,3811.82504,45.67082,62.67425
2025-12-30,4337.39758,4405.82213,4325.67935,4346.71282,4260.58982,3806.80551,49.61362,60.28797
2025-12-29,4532.61769,4547.90835,4307.57154,4337.36579,4257.0746,3801.3793,48.52543,58.76067
2025-12-28,4532.61899,4532.8813,4531.44651,4532.58587,4253.79741,3795.9925,83.49885,44.79328
2025-12-27,4523.48301,4534.74851,4522.15204,4532.69019,4242.41829,3788.58955,83.52872,48.12854
2025-12-26,4479.62443,4550.78973,4476.55334,4523.58231,4230.57045,3781.11116,83.03673,50.86178
2025-12-25,4479.62632,4480.72434,4479.00292,4479.69741,4218.61079,3773.64913,80.42002,49.06373
2025-12-24,4491.63223,4525.85005,4451.05034,4479.69441,4207.95419,3766.55317,80.41983,52.70545
2025-12-23,4433.51735,4498.40302,4431.79418,4491.60078,4196.86275,3759.38592,83.43054,51.00589
2025-12-22,4338.52403,4443.81931,4338.17759,4433.70172,4184.83263,3752.02698,80.05963,49.80567
2025-12-21,4338.53784,4338.7268,4338.45602,4338.55589,4174.67471,3745.17598,71.08264,45.51059
2025-12-20,4345.83332,4346.01548,4336.79635,4338.63147,4167.98568,3739.21236,71.10625,48.99057
2025-12-19,4324.94935,4356.27683,4311.66104,4345.9183,4161.02055,3733.18805,73.28567,52.04991
2025-12-18,4336.87959,4376.2737,4308.87716,4325.06663,4153.4737,3727.02995,70.91709,52.62177
2025-12-17,4310.3026,4348.63257,4301.10812,4336.82339,4146.46991,3721.01954,74.36932,51.48525
2025-12-16,4314.60283,4334.17857,4268.69498,4310.06308,4138.70038,3714.83055,71.42977,51.78992
2025-12-15,4302.43395,4350.09414,4286.91234,4314.55996,4131.70598,3708.84832,72.73137,50.73656
2025-12-14,4302.42429,4302.61883,4302.36226,4302.5204,4124.24255,3702.76076,71.43744,49.77924
2025-12-13,4296.78407,4304.4202,4289.06841,4302.40463,4116.9659,3696.73303,71.42533,53.58867
2025-12-12,4273.60179,4352.66531,4259.01477,4296.83443,4109.39698,3690.64588,70.87375,56.52997
2025-12-11,4215.87471,4287.12029,4204.46736,4273.56204,4101.74647,3684.55353,68.51598,53.67454
2025-12-10,4212.73084,4219.56716,4182.65249,4215.85221,4094.73359,3678.63384,61.30292,51.44544
